time_left_game,score_diff,b_hat,b_hat_se,tau_p_abs_ge_threshold
15.0,-10.0,0.0020397347398102283,0.0002845700946636498,0.9879400134086609
15.0,-9.0,0.0020397347398102283,0.0002845700946636498,0.9879400134086609
15.0,-8.0,-0.00182711414527148,0.0002843733527697623,0.9878799915313721
15.0,-7.0,0.00579505879431963,0.0002863788104150444,0.9890199899673462
15.0,-6.0,0.0011114416411146522,0.00029191593057475984,0.9891200065612793
15.0,-5.0,-0.013356717303395271,0.00030098113347776234,0.9894400238990784
15.0,-4.0,-0.02199113741517067,0.0003105364157818258,0.9904400110244751
15.0,-3.0,-0.03777426481246948,0.00033429896575398743,0.991320013999939
15.0,-2.0,-0.010137425735592842,0.00034325793967582285,0.9910399913787842
15.0,-1.0,0.006701136473566294,0.000348055298672989,0.9907699823379517
15.0,0.0,0.008670941926538944,0.00035210902569815516,0.9911699891090393
15.0,1.0,-0.0024896953254938126,0.0003435465332586318,0.9910200238227844
15.0,2.0,0.015122237615287304,0.000333287549437955,0.9898399710655212
15.0,3.0,0.0076479301787912846,0.00031916002626530826,0.9902200102806091
15.0,4.0,0.014513079077005386,0.0003039355215150863,0.9893199801445007
15.0,5.0,0.008809670805931091,0.0002959254779852927,0.9891600012779236
15.0,6.0,0.0039090318605303764,0.000288697105133906,0.9890199899673462
15.0,7.0,0.0052575236186385155,0.000287739239865914,0.9888899922370911
15.0,8.0,0.005646187346428633,0.0002870209573302418,0.9884799718856812
15.0,9.0,0.006839632522314787,0.00028712183120660484,0.98853999376297
15.0,10.0,0.006703554652631283,0.0002871196193154901,0.9882799983024597
19.830509185791016,-10.0,0.0036567142233252525,0.00028463301714509726,0.9883900284767151
19.830509185791016,-9.0,0.0036567142233252525,0.00028463301714509726,0.9883900284767151
19.830509185791016,-8.0,-0.00021013406512793154,0.00028443284099921584,0.9888899922370911
19.830509185791016,-7.0,0.008452514186501503,0.0002867607690859586,0.9891200065612793
19.830509185791016,-6.0,0.0037688976153731346,0.00029214107780717313,0.9896100163459778
19.830509185791016,-5.0,-0.009697395376861095,0.0003008709172718227,0.9894700050354004
19.830509185791016,-4.0,-0.012465058825910091,0.00031119241612032056,0.9899100065231323
19.830509185791016,-3.0,-0.026991162449121475,0.0003339901741128415,0.9908900260925293
19.830509185791016,-2.0,-0.0038207583129405975,0.0003430507204029709,0.9904599785804749
19.830509185791016,-1.0,0.008652105927467346,0.000348343892255798,0.9909800291061401
19.830509185791016,0.0,0.011082959361374378,0.0003526996006257832,0.9908000230789185
19.830509185791016,1.0,-0.0001840059703681618,0.00034380139550194144,0.9909700155258179
19.830509185791016,2.0,0.017427926883101463,0.00033350044395774603,0.9905099868774414
19.830509185791016,3.0,0.009953620843589306,0.0003197310143150389,0.989359974861145
19.830509185791016,4.0,0.016862154006958008,0.00030429946491494775,0.9893400073051453
19.830509185791016,5.0,0.010829412378370762,0.0002958394179586321,0.9889500141143799
19.830509185791016,6.0,0.006596163380891085,0.00028880633180961013,0.9886299967765808
19.830509185791016,7.0,0.007944655604660511,0.00028765955357812345,0.9881700277328491
19.830509185791016,8.0,0.008333317935466766,0.00028690637554973364,0.9883900284767151
19.830509185791016,9.0,0.009526764042675495,0.0002869988384190947,0.9882400035858154
19.830509185791016,10.0,0.009390686638653278,0.00028697829111479223,0.9883400201797485
24.6610164642334,-10.0,0.00597040168941021,0.0002849886368494481,0.9882500171661377
24.6610164642334,-9.0,0.00597040168941021,0.0002849886368494481,0.9882500171661377
24.6610164642334,-8.0,0.0021035526879131794,0.00028487498639151454,0.9884600043296814
24.6610164642334,-7.0,0.010766200721263885,0.0002870563475880772,0.9890599846839905
24.6610164642334,-6.0,0.012234245426952839,0.0002923244028352201,0.9897900223731995
24.6610164642334,-5.0,0.0029955676291137934,0.00030187980155460536,0.9893199801445007
24.6610164642334,-4.0,0.0002279067994095385,0.00031362377922050655,0.9895399808883667
24.6610164642334,-3.0,-0.014335589483380318,0.0003337833331897855,0.9908699989318848
24.6610164642334,-2.0,0.007570172660052776,0.0003444303583819419,0.9916399717330933
24.6610164642334,-1.0,0.013615861535072327,0.0003497789439279586,0.9909700155258179
24.6610164642334,0.0,0.010243010707199574,0.0003527087683323771,0.990559995174408
24.6610164642334,1.0,-0.0010518371127545834,0.00034394770045764744,0.9910699725151062
24.6610164642334,2.0,0.016592416912317276,0.00033402975532226264,0.9899799823760986
24.6610164642334,3.0,0.009343826211988926,0.0003205393149983138,0.9904099702835083
24.6610164642334,4.0,0.01596774347126484,0.0003053302934858948,0.988860011100769
24.6610164642334,5.0,0.009935008361935616,0.00029674271354451776,0.9887400269508362
24.6610164642334,6.0,0.0057017565704882145,0.00028978180489502847,0.9884700179100037
24.6610164642334,7.0,0.007050247862935066,0.00028855158598162234,0.9883700013160706
24.6610164642334,8.0,0.007438911125063896,0.00028785475296899676,0.9884200096130371
24.6610164642334,9.0,0.008632357232272625,0.0002879492531064898,0.9886299967765808
24.6610164642334,10.0,0.008496279828250408,0.00028792451485060155,0.9884600043296814
29.491525650024414,-10.0,0.005045141093432903,0.00028880833997391164,0.9880200028419495
29.491525650024414,-9.0,0.005045141093432903,0.00028880833997391164,0.9880200028419495
29.491525650024414,-8.0,0.0011782930232584476,0.0002887640439439565,0.9886500239372253
29.491525650024414,-7.0,0.009840941987931728,0.00029067607829347253,0.9893900156021118
29.491525650024414,-6.0,-8.471271576127037e-05,0.0002923236752394587,0.9891300201416016
29.491525650024414,-5.0,-0.00617484375834465,0.000302204949548468,0.9889000058174133
29.491525650024414,-4.0,-0.010003581643104553,0.00031369595672003925,0.989579975605011
29.491525650024414,-3.0,-0.02470225654542446,0.0003345479490235448,0.9907699823379517
29.491525650024414,-2.0,-0.0020574696827679873,0.0003453567624092102,0.9902200102806091
29.491525650024414,-1.0,0.002160467905923724,0.00035089513403363526,0.9906200170516968
29.491525650024414,0.0,0.008572190999984741,0.00035767783992923796,0.9905400276184082
29.491525650024414,1.0,-0.002555211540311575,0.0003488704387564212,0.9910600185394287
29.491525650024414,2.0,0.014736329205334187,0.00033917458495125175,0.9903600215911865
29.491525650024414,3.0,0.007337180897593498,0.00032519217347726226,0.9897599816322327
29.491525650024414,4.0,0.014110393822193146,0.0003099044261034578,0.9894800186157227
29.491525650024414,5.0,0.009210160933434963,0.00030170870013535023,0.9886199831962585
29.491525650024414,6.0,0.004713142290711403,0.00029434950556606054,0.9895899891853333
29.491525650024414,7.0,0.006061633117496967,0.0002931963244918734,0.9895600080490112
