mode,model,params,note
fixed,lgbm,"{""learning_rate"": 0.03, ""num_leaves"": 31, ""min_data_in_leaf"": 50, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.7, ""bagging_freq"": 1, ""lambda_l2"": 0, ""lambda_l1"": 1, ""min_gain_to_split"": 0, ""n_estimators"": 5000}",retuning_skipped
fixed,lgbm,"{""learning_rate"": 0.03, ""num_leaves"": 31, ""min_data_in_leaf"": 300, ""feature_fraction"": 0.9, ""bagging_fraction"": 0.9, ""bagging_freq"": 1, ""lambda_l2"": 5, ""lambda_l1"": 0, ""min_gain_to_split"": 0, ""n_estimators"": 5000}",retuning_skipped
