condition,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
"Trailing by 3, 15-30 s, after made shot, nonterminal next state",2PA,382,374,0.36337501710768333,0.15968586387434555,0.20368915323333778
"Trailing by 3, 15-30 s, after made shot, nonterminal next state",3PA,177,176,0.46761211802583647,0.3898305084745763,0.07778160955126018
