condition,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
"Trailing by 3, 45-60 s, after made shot, nonterminal next state",2PA,309,307,0.34046104945366884,0.343042071197411,-0.00258102174374214
"Trailing by 3, 45-60 s, after made shot, nonterminal next state",3PA,132,132,0.4788552580414529,0.4318181818181818,0.04703707622327108
