time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,71,71,0.3813040524162105,0.2112676056338028,0.1700364467824077
0-15s,3PA,85,81,0.4726357269307729,0.3411764705882353,0.13145925634253758
15-30s,2PA,70,70,0.33934838797448336,0.2571428571428571,0.08220553083162624
15-30s,3PA,33,33,0.46405675275274105,0.3939393939393939,0.07011735881334713
30-45s,2PA,56,56,0.3224887555092156,0.2857142857142857,0.036774469794929876
30-45s,3PA,30,29,0.46517509315124295,0.3,0.16517509315124296
45-60s,2PA,60,60,0.32800034594298855,0.3,0.028000345942988558
45-60s,3PA,32,32,0.4778635088531412,0.34375,0.13411350885314122
