time_left_game,score_diff_offense,tau_catboost,sign_catboost,tau_xgb,sign_xgb,tau_lgbm,sign_lgbm,positive_share,negative_share,neutral_share,agreement_ratio,is_unanimous,has_pos_neg_conflict,mean_tau,std_tau,majority_positive,majority_negative,majority_neutral,majority_sign
0.0,-10.0,0.0027091761585325003,1,-0.005374412517994642,-1,-0.002831129590049386,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0018321219831705093,0.0033748692440617465,False,True,False,-1
0.0,-9.0,-0.001237446558661759,-1,-0.006502650678157806,-1,-0.0036812247708439827,-1,0.0,1.0,0.0,1.0,True,False,-0.0038071073358878493,0.0021513528178220102,False,True,False,-1
0.0,-8.0,0.0036208292003721,1,-0.008792025968432426,-1,-0.0025591510348021984,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.002576782600954175,0.005067542238898001,False,True,False,-1
0.0,-7.0,0.0009874387178570032,1,-0.005111948121339083,-1,-0.002166211837902665,-1,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,False,True,-0.0020969070804615817,0.002490546434766553,False,True,False,-1
0.0,-6.0,-0.00015297197387553751,-1,-0.005805903114378452,-1,-0.0017330215778201818,-1,0.0,1.0,0.0,1.0,True,False,-0.0025639655553580574,0.002381422339719374,False,True,False,-1
0.0,-5.0,-0.002187119098380208,-1,-0.01060642208904028,-1,-0.00509733147919178,-1,0.0,1.0,0.0,1.0,True,False,-0.005963624222204089,0.0034913238224281297,False,True,False,-1
0.0,-4.0,-0.006793201435357332,-1,-0.010462982580065727,-1,-0.010433279909193516,-1,0.0,1.0,0.0,1.0,True,False,-0.009229821308205525,0.00172299310614471,False,True,False,-1
0.0,-3.0,-0.005646432284265757,-1,-0.01076278742402792,-1,-0.006324728950858116,-1,0.0,1.0,0.0,1.0,True,False,-0.007577982886383931,0.0022689581381808823,False,True,False,-1
0.0,-2.0,-0.014023681171238422,-1,-0.019115976989269257,-1,-0.011686759069561958,-1,0.0,1.0,0.0,1.0,True,False,-0.014942139076689879,0.0031017192455894214,False,True,False,-1
0.0,-1.0,-0.04234853386878967,-1,-0.051157936453819275,-1,-0.04275110363960266,-1,0.0,1.0,0.0,1.0,True,False,-0.045419191320737205,0.004061232356641515,False,True,False,-1
0.0,0.0,-0.021082201972603798,-1,-0.028980497270822525,-1,-0.02027060091495514,-1,0.0,1.0,0.0,1.0,True,False,-0.023444433386127155,0.003928585544507116,False,True,False,-1
