region,n_cells,mean_tau_wp,mean_tau_sensitivity,mean_difference,sign_flip_share,share_tau_wp_positive,share_tau_sensitivity_positive
trailing_3plus_possessions,100,0.002676390894683285,0.0041981279191817,0.0015217370244984146,0.09,0.91,1.0
trailing_2_possessions,75,0.004116329078872948,0.005594951409018598,0.0014786223301456502,0.0,1.0,1.0
trailing_1_possession,75,0.003920649113715584,0.0054222170978188485,0.0015015679841032647,0.0,1.0,1.0
tied,25,0.001597020101423028,0.0030666652445990998,0.0014696451431760718,0.08,0.92,1.0
leading_1_possession,75,-0.0007288468325471586,0.0007570788987019386,0.0014859257312490972,0.44,0.29333333333333333,0.7333333333333333
leading_2_possessions,75,0.0002596861231116332,0.001726625757651573,0.00146693963453994,0.3333333333333333,0.6666666666666666,1.0
leading_3plus_possessions,100,-0.001109144439681836,0.0003467512817648371,0.001455895721446673,0.72,0.0,0.72
