time_left_game,score_diff,tau_wp,b_hat,cell_count,cell_density,tau_sensitivity,abs_difference,supported,tau_wp_sign,tau_sensitivity_sign,sign_flip,time_band
30.0,-10.0,0.0087886868665615,-0.0014625775705402,395,70.22222222222223,0.0102512644371017,0.0014625775705401998,True,positive,positive,False,30_60
30.0,-9.0,0.0076601980254054,-0.0014633444370701,436,77.5111111111111,0.0091235424624755,0.0014633444370701007,True,positive,positive,False,30_60
30.0,-8.0,0.0040093911035607,-0.0014724451272437,514,91.37777777777778,0.0054818362308044,0.0014724451272437001,True,positive,positive,False,30_60
30.0,-7.0,0.0139806422715385,-0.0014459500865389,448,79.64444444444445,0.0154265923580774,0.0014459500865389007,True,positive,positive,False,30_60
30.0,-6.0,0.0147644498695929,-0.0014647447969764,469,83.37777777777778,0.0162291946665693,0.0014647447969763985,True,positive,positive,False,30_60
30.0,-5.0,0.0153282390286525,-0.0015573089088623,447,79.46666666666667,0.0168855479375148,0.0015573089088623,True,positive,positive,False,30_60
30.0,-4.0,0.0105281436505417,-0.0015227021649479,418,74.31111111111112,0.0120508458154896,0.0015227021649478999,True,positive,positive,False,30_60
30.0,-3.0,0.0073303903142611,-0.0015982570669924,462,82.13333333333334,0.008928647381253499,0.001598257066992399,True,positive,positive,False,30_60
30.0,-2.0,0.0087719225945572,-0.0014975126056621,450,80.0,0.0102694352002193,0.0014975126056620998,True,positive,positive,False,30_60
30.0,-1.0,0.0103982475896676,-0.0014628901068742,477,84.8,0.0118611376965418,0.0014628901068742001,True,positive,positive,False,30_60
30.0,0.0,0.0009027698154871,-0.0014483919755245,526,93.5111111111111,0.0023511617910116,0.0014483919755245,True,positive,positive,False,30_60
30.0,1.0,0.0015061926145184,-0.0014547361837079,376,66.84444444444445,0.0029609287982263,0.0014547361837079,True,positive,positive,False,30_60
30.0,2.0,-0.0001132464240072,-0.0014077780263808,375,66.66666666666667,0.0012945316023736,0.0014077780263808,True,negative,positive,True,30_60
30.0,3.0,-0.0025094936136156,-0.0015358250432958,334,59.37777777777778,-0.0009736685703197999,0.0015358250432958,True,negative,negative,False,30_60
30.0,4.0,0.0017035175502921,-0.0014295732059205,288,51.2,0.0031330907562126,0.0014295732059205002,True,positive,positive,False,30_60
30.0,5.0,0.0008109186116295,-0.001428909250535,244,43.37777777777778,0.0022398278621645,0.0014289092505350002,True,positive,positive,False,30_60
30.0,6.0,-0.0003966115376291,-0.0013821342727169,199,35.37777777777778,0.0009855227350878,0.0013821342727169,True,negative,positive,True,30_60
30.0,7.0,-0.0008103266785231,-0.0013757798587903,159,28.266666666666666,0.0005654531802672001,0.0013757798587903,True,negative,positive,True,30_60
30.0,8.0,-0.000758153037168,-0.0013827591901645,139,24.711111111111112,0.0006246061529964999,0.0013827591901645,True,negative,positive,True,30_60
30.0,9.0,-0.000758153037168,-0.0013809393470486,177,31.466666666666665,0.0006227863098806,0.0013809393470486,True,negative,positive,True,30_60
30.0,10.0,-0.000866674274827,-0.001377839090613,190,33.77777777777778,0.000511164815786,0.001377839090613,True,negative,positive,True,30_60
41.25,-10.0,0.0059532669062415,-0.0014013313145066,653,58.04444444444445,0.0073545982207481,0.0014013313145066,True,positive,positive,False,30_60
41.25,-9.0,0.0044285790839542,-0.0014015244863306,691,61.422222222222224,0.0058301035702848,0.0014015244863306003,True,positive,positive,False,30_60
41.25,-8.0,0.0013461233659957,-0.0014065630578746,713,63.37777777777778,0.0027526864238703,0.0014065630578745999,True,positive,positive,False,30_60
41.25,-7.0,0.007701223095258,-0.0013990687051167,696,61.86666666666667,0.0091002918003747,0.0013990687051167001,True,positive,positive,False,30_60
41.25,-6.0,0.0070179801744719,-0.0014688855735585,707,62.84444444444444,0.0084868657480304,0.0014688855735584998,True,positive,positive,False,30_60
