window,n_score_cells,same_sign_share_score_cells,mean_observed_diff_score_cells,mean_b_hat_300_score_cells
285_300,15,0.5333333333333333,-0.010941217338862146,0.008914045120278989
295_300,15,0.8,-0.014233770843132395,0.008914045120278989
exact_300,15,0.4666666666666667,0.010546537397910985,0.008914045120278989
270_285,15,0.3333333333333333,-0.0026012779638272627,0.008914045120278989
240_285,15,0.3333333333333333,-0.008335813532343828,0.008914045120278989
