subset,n_cells,n_supported_cells,sign_flip_share,mean_abs_difference,median_abs_difference,p90_abs_difference,p95_abs_difference,max_abs_difference,mean_tau_wp,mean_tau_sensitivity,share_tau_wp_positive,share_tau_sensitivity_positive,time_band
30_60,63,63,0.20634920634920634,0.0014400578214214907,0.0014295732059205002,0.00150287742726498,0.00153104336156195,0.001598257066992399,0.0029368016910271766,0.004376859512448666,0.5873015873015873,0.7936507936507936,30_60
60_120,105,105,0.22857142857142856,0.0014755487685933894,0.0014719444637497,0.00155986446576808,0.0015703063923865198,0.0016056794362763,0.0008695728651363239,0.0023451216337297136,0.49523809523809526,0.7238095238095238,60_120
120_180,126,126,0.3492063492063492,0.0014832916268560934,0.0014838820400958,0.0015480774454771499,0.0015663499458848,0.0016055839369073,0.0013143860916364758,0.00279767771849257,0.6031746031746031,0.9523809523809523,120_180
180_240,105,105,0.2857142857142857,0.0014865270163493818,0.0014816820621490001,0.0015428939834236403,0.0015695582532012997,0.0015723494191963996,0.001238015040403932,0.0027245420567533134,0.7142857142857143,1.0,180_240
240_300,126,126,0.23809523809523808,0.001514660587494838,0.0015220540032410998,0.00158294367914395,0.0016149528964888,0.0016670238692313,0.0015262585326155642,0.003040919120110402,0.7619047619047619,1.0,240_300
