subset,n_cells,n_supported_cells,sign_flip_share,mean_abs_difference,median_abs_difference,p90_abs_difference,p95_abs_difference,max_abs_difference,mean_tau_wp,mean_tau_sensitivity,share_tau_wp_positive,share_tau_sensitivity_positive
all_cells,525,525,0.26857142857142857,0.0014847306270033358,0.001481682062149,0.0015625074661025202,0.00157988902647042,0.0016670238692313,0.001455688493851802,0.002940419120855149,0.64,0.9085714285714286
supported_cell_count_ge_20,525,525,0.26857142857142857,0.0014847306270033358,0.001481682062149,0.0015625074661025202,0.00157988902647042,0.0016670238692313,0.001455688493851802,0.002940419120855149,0.64,0.9085714285714286
late_240_300_all,126,126,0.23809523809523808,0.001514660587494817,0.00152205400324105,0.00158294367914395,0.0016149528964888,0.0016670238692313,0.0015262585326155642,0.0030409191201103904,0.7619047619047619,1.0
late_240_300_supported,126,126,0.23809523809523808,0.001514660587494817,0.00152205400324105,0.00158294367914395,0.0016149528964888,0.0016670238692313,0.0015262585326155642,0.0030409191201103904,0.7619047619047619,1.0
