n,mean_fitted_wp,empirical_win_rate,gap,brier,log_loss,ece,mce,calibration_intercept,calibration_slope,diagnostic,model,shot_type,n_games
75,0.36678222654817605,0.09333333333333334,0.2734488932148427,0.1691037103072845,0.5286395239726347,0.3068414853709156,0.764332601397784,-2.0223251204924244,0.5747921848959636,stress_down3_made_le5,baseline_m0,2PA,74
203,0.4815412084790009,0.4187192118226601,0.0628219966563408,0.2451992051733116,0.6836091826849215,0.07317623933823635,0.6705165761224929,-0.267127298227238,0.8552670470876035,stress_down3_made_le5,baseline_m0,3PA,201
75,0.33243358652201976,0.09333333333333334,0.23910025318868644,0.1567526559207781,0.5089150102633268,0.2733277233305789,0.8268582670781011,-2.020297571290409,0.4293254837795287,stress_down3_made_le5,final_surface,2PA,74
203,0.47811397914287174,0.4187192118226601,0.05939476732021165,0.24587605785522093,0.6851572149199273,0.06935042153887831,0.728011523255066,-0.2713454828130826,0.661373153694768,stress_down3_made_le5,final_surface,3PA,201
