n,mean_fitted_wp,empirical_win_rate,gap,brier,log_loss,ece,mce,calibration_intercept,calibration_slope,diagnostic,model,time_bin,publication_role
29210,0.5849901210617816,0.5817528243752139,0.003237296686567692,0.05867582863290617,0.19649145743846524,0.00894231042015096,0.06039944144504239,-0.05321859446780337,1.0119071734110934,coarse_45_300_sanity_next_state,final_surface,45-60s,reviewer_response_holdout
111275,0.5860586082698733,0.5825747023140867,0.003483905955786626,0.06632673272064567,0.2167463471985517,0.0067065426050729945,0.05886515238838064,-0.052138567239752395,0.9954062937490534,coarse_45_300_sanity_next_state,final_surface,60-120s,reviewer_response_holdout
101604,0.5859898592493726,0.5866895004133695,-0.0006996411639969002,0.07784831063635086,0.24693281039923054,0.006558596400253938,0.028705256748382202,0.010087109359480978,0.9818097348244433,coarse_45_300_sanity_next_state,final_surface,120-180s,reviewer_response_holdout
102989,0.5848282083340401,0.5850042237520512,-0.00017601541801104403,0.08812884263102495,0.27605769464096297,0.004541904742243645,0.03446219166766917,0.0033559914361536236,0.9866527695202835,coarse_45_300_sanity_next_state,final_surface,180-240s,reviewer_response_holdout
104648,0.5857434794840197,0.5855821420380705,0.00016133744594926114,0.09875642459703031,0.3051003087148288,0.00462715306492028,0.021491246683132792,-0.0009769545280499592,0.9953648357799858,coarse_45_300_sanity_next_state,final_surface,240-300s,reviewer_response_holdout
