diagnostic,season,brier_baseline_m0,brier_final_surface,calibration_intercept_baseline_m0,calibration_intercept_final_surface,calibration_slope_baseline_m0,calibration_slope_final_surface,ece_baseline_m0,ece_final_surface,empirical_win_rate_baseline_m0,empirical_win_rate_final_surface,gap_baseline_m0,gap_final_surface,log_loss_baseline_m0,log_loss_final_surface,mce_baseline_m0,mce_final_surface,mean_fitted_wp_baseline_m0,mean_fitted_wp_final_surface,n_baseline_m0,n_final_surface,abs_gap_change_surface_minus_baseline,gap_change_surface_minus_baseline,brier_change_surface_minus_baseline,log_loss_change_surface_minus_baseline
overall_late_tail_next_state,2000,0.11411784353777266,0.11259482504468767,0.08084952913590039,0.08476240235688247,0.9671312125026467,0.9079807885629831,0.05158669891762614,0.048681320717228284,0.5248590466427473,0.5248590466427473,-0.009755980381519813,-0.011548689691174174,0.3722776393965816,0.3648895248719407,0.20348753581300913,0.515905601543726,0.5151030662612275,0.5133103569515731,1951,1951,0.0017927093096543611,-0.0017927093096543611,-0.0015230184930849905,-0.0073881145246408875
overall_late_tail_next_state,2001,0.10962305988635122,0.10790204526560221,-0.04619433434817431,-0.036170704941511804,1.0266922987090856,0.9435997646074499,0.06909648669567636,0.0627938535945033,0.5203291384317522,0.5203291384317522,0.0054229524926339145,0.0027434296463366703,0.3557300171345952,0.351350125773964,0.3313716376152449,0.29834143395837465,0.5257520909243861,0.5230725680780889,2066,2066,-0.0026795228462972442,-0.0026795228462972442,-0.0017210146207490146,-0.004379891360631161
overall_late_tail_next_state,2002,0.10548438105815779,0.10345311483197185,0.1544049370262338,0.17682865894040242,1.1045466916939612,1.0343954215798412,0.050363079850890155,0.05028081998856456,0.5522749273959342,0.5522749273959342,-0.016114834525740585,-0.017860178009304506,0.3459319849522898,0.3366031043027149,0.16193812068680502,0.15868723208106084,0.5361600928701936,0.5344147493866297,2066,2066,0.0017453434835639214,-0.0017453434835639214,-0.002031266226185935,-0.009328880649574878
overall_late_tail_next_state,2003,0.11718177374546024,0.11518553466644067,0.0604611514049292,0.07121711439635392,0.9558890410357348,0.9047393685327293,0.05063250981772381,0.04893944697773069,0.5179437439379243,0.5179437439379243,-0.007929352559109648,-0.010758760652551547,0.38072676692591934,0.3715879026510114,0.12572126929845878,0.12199712412871738,0.5100143913788147,0.5071849832853728,2062,2062,0.0028294080934418986,-0.0028294080934418986,-0.0019962390790195655,-0.009138864274907954
overall_late_tail_next_state,2004,0.12335445236550725,0.12164072824942798,0.09769364651124461,0.10478753431634748,0.9490887770253803,0.8935594709815007,0.05384063003642912,0.04898739124044143,0.5393738140417458,0.5393738140417458,-0.012530882143772959,-0.014462230322711433,0.395098834543071,0.38660412211761896,0.17667278794323987,0.17886209330866826,0.5268429318979728,0.5249115837190343,2108,2108,0.0019313481789384745,-0.0019313481789384745,-0.001713724116079271,-0.008494712425452022
overall_late_tail_next_state,2005,0.12039054326433091,0.11897296126731043,0.09944798785532269,0.10380819196138821,0.9778881520494674,0.9115743913455739,0.04005355311380125,0.039316037201577024,0.5335492827394724,0.5335492827394724,-0.012383622236107006,-0.014232461610474978,0.386456215522638,0.3804541923171457,0.10326239363467107,0.18195713822015164,0.5211656605033654,0.5193168211289975,2161,2161,0.001848839374367972,-0.001848839374367972,-0.0014175819970204812,-0.006002023205492257
overall_late_tail_next_state,2006,0.13052937142598947,0.13007950571844065,0.011244588251087663,0.008596518306872778,0.885009157605799,0.8174469989267589,0.04263283867529719,0.05518989889612324,0.5202492211838006,0.5202492211838006,-0.0027121432697471137,-0.005080369757375136,0.4122892696049729,0.4103411618154186,0.13760409015245256,0.1432342674988625,0.5175370779140535,0.5151688514264254,2247,2247,0.0023682264876280223,-0.0023682264876280223,-0.00044986570754881883,-0.001948107789554343
overall_late_tail_next_state,2007,0.10493540356631402,0.10245126743942869,0.10620561918412666,0.11836662332354254,1.04421649458651,0.9869578543690032,0.06991124834143897,0.064337678866096,0.5327442827442828,0.5327442827442828,-0.01088291957339127,-0.012483324908758031,0.34755297354922293,0.3368541770043184,0.32431909521364144,0.29100367640184943,0.5218613631708915,0.5202609578355247,1924,1924,0.0016004053353667613,-0.0016004053353667613,-0.0024841361268853335,-0.01069879654490452
overall_late_tail_next_state,2008,0.11578440485243759,0.11471752429887255,0.01702594588098254,0.010250527205074455,0.9837326478725107,0.9089661152188846,0.04597257157016014,0.04710773949575349,0.5467795016455101,0.5467795016455101,-0.0019778394462629523,-0.0021052769531479942,0.3705156498727224,0.3650777412533306,0.1711664503439188,0.12576774490411918,0.5448016621992472,0.5446742246923622,2127,2127,0.00012743750688504196,-0.00012743750688504196,-0.0010668805535650333,-0.005437908619391807
overall_late_tail_next_state,2009,0.1099675723222624,0.10904956544099015,0.198870904587915,0.2016955301881723,1.0330342719302064,0.9562349595327938,0.03776034482897667,0.03194551938310193,0.564206268958544,0.564206268958544,-0.02197620068150219,-0.022327282965614814,0.35601626083565824,0.35201829621998626,0.12898876206916393,0.08539213146170987,0.5422300682770418,0.5418789859929292,1978,1978,0.0003510822841126249,-0.0003510822841126249,-0.0009180068812722486,-0.003997964615671978
