time_left_game,score_diff,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree,n_in_cell,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p,shown_in_figure
0.0,-10.0,-0.0018321219831705,-0.0018321219831705,0.0027091761585325,-0.0053744125179946,-0.0028311295900493,0.0033748692440617,0.3333333333333333,1,90,90,4.51085950651685,0.5,180.0,5.198497031265826,True
0.0,-9.0,-0.0038071073358878,-0.0038071073358878,-0.0012374465586617,-0.0065026506781578,-0.0036812247708439,0.002151352817822,0.0,0,125,125,4.836281906951478,0.5,250.0,5.5254529391317835,True
0.0,-8.0,-0.0025767826009541,-0.0025767826009541,0.0036208292003721,-0.0087920259684324,-0.0025591510348021,0.005067542238898,0.3333333333333333,1,163,163,5.099866427824199,0.5,326.0,5.7899601708972535,True
0.0,-7.0,-0.0020969070804615,-0.0020969070804615,0.000987438717857,-0.005111948121339,-0.0021662118379026,0.0024905464347665,0.3333333333333333,1,277,277,5.627621113690637,0.5,554.0,6.318968113746434,True
0.0,-6.0,-0.002563965555358,-0.002563965555358,-0.0001529719738755,-0.0058059031143784,-0.0017330215778201,0.0023814223397193,0.0,0,363,363,5.8971538676367405,0.5,726.0,6.588926477533519,True
0.0,-5.0,-0.005963624222204,-0.005963624222204,-0.0021871190983802,-0.0106064220890402,-0.0050973314791917,0.0034913238224281,0.0,0,499,499,6.214608098422191,0.5,998.0,6.906754778648554,True
0.0,-4.0,-0.0092298213082055,-0.0092298213082055,-0.0067932014353573,-0.0104629825800657,-0.0104332799091935,0.0017229931061447,0.0,0,564,564,6.336825731146441,0.5,1128.0,7.029087564149662,True
0.0,-3.0,-0.0075779828863839,-0.0075779828863839,-0.0056464322842657,-0.0107627874240279,-0.0063247289508581,0.0022689581381808,0.0,0,734,734,6.5998704992128365,0.5,1468.0,7.292337176173877,True
0.0,-2.0,-0.0149421390766898,-0.0149421390766898,-0.0140236811712384,-0.0191159769892692,-0.0116867590695619,0.0031017192455894,0.0,0,782,782,6.663132695990803,0.5,1564.0,7.355641102974253,True
0.0,-1.0,-0.0454191913207372,-0.0454191913207372,-0.0423485338687896,-0.0511579364538192,-0.0427511036396026,0.0040612323566415,0.0,0,553,553,6.317164686747284,0.5,1106.0,7.009408932708637,True
