time_left_game,score_diff,cell_count,cell_count_log1p,time_cell_width,cell_density,cell_density_log1p
30.0,-10.0,395,5.981414211254481,5.625,70.22222222222223,4.265804879584451
30.0,-9.0,436,6.07993319509559,5.625,77.5111111111111,4.363240157588826
30.0,-8.0,514,6.244166900663736,5.625,91.37777777777778,4.525886449482318
30.0,-7.0,448,6.1070228877422545,5.625,79.64444444444445,4.3900499174427505
30.0,-6.0,469,6.152732694704104,5.625,83.37777777777778,4.435304070461482
30.0,-5.0,447,6.104793232414985,5.625,79.46666666666667,4.387843019995321
30.0,-4.0,418,6.037870919922137,5.625,74.31111111111112,4.321627681836731
30.0,-3.0,462,6.137727054086234,5.625,82.13333333333334,4.420445744577826
30.0,-2.0,450,6.111467339502679,5.625,80.0,4.394449154672439
30.0,-1.0,477,6.169610732491456,5.625,84.8,4.4520190064939165
30.0,0.0,526,6.267200548541362,5.625,93.5111111111111,4.5487174054833135
30.0,1.0,376,5.932245187448011,5.625,66.84444444444445,4.217217502964558
30.0,2.0,375,5.929589143389895,5.625,66.66666666666667,4.214593690373678
30.0,3.0,334,5.814130531825066,5.625,59.37777777777778,4.100621119656028
30.0,4.0,288,5.666426688112432,5.625,51.2,3.955082494888593
30.0,5.0,244,5.501258210544727,5.625,43.37777777777778,3.7927388436454956
30.0,6.0,199,5.298317366548036,5.625,35.37777777777778,3.5939580876008153
30.0,7.0,159,5.075173815233827,5.625,28.266666666666666,3.3764492119729614
30.0,8.0,139,4.941642422609304,5.625,24.711111111111112,3.2469232374233568
30.0,9.0,177,5.181783550292085,5.625,31.466666666666665,3.4802139219803796
30.0,10.0,190,5.25227342804663,5.625,33.77777777777778,3.548978613203934
41.25,-10.0,653,6.483107351457199,11.25,58.044444444444444,4.078290455989494
41.25,-9.0,691,6.539585955617669,11.25,61.422222222222224,4.133921337333924
41.25,-8.0,713,6.570882962339584,11.25,63.37777777777778,4.164768507999031
41.25,-7.0,696,6.546785410760524,11.25,61.86666666666667,4.141016081531247
41.25,-6.0,707,6.56244409369372,11.25,62.84444444444444,4.15644956920897
