season,variant,region,n,mean_pred,empirical_win_rate,bias,brier,log_loss,ece,mce
2000,none,global_next_offense_excl_terminal,191185.0,0.4993183632664562,0.4940711875931689,0.005247175673287252,0.1665656576723982,0.4935298519050062,0.013205323640463153,0.03262076040330272
2001,none,global_next_offense_excl_terminal,192784.0,0.4985325211174371,0.4918042991119595,0.006728222005477624,0.16970617744441338,0.5003887758081528,0.00959814419207025,0.029015624295272352
2002,none,global_next_offense_excl_terminal,191656.0,0.4996515260527356,0.4934726802187252,0.006178845834010405,0.16451188597981065,0.4880158109652335,0.016755427378208926,0.028886048015919513
2003,none,global_next_offense_excl_terminal,189329.0,0.5004274682552279,0.49400250357842695,0.006424964676800926,0.16879271783500924,0.49938034454062474,0.011043520818844018,0.028627551340936808
2004,none,global_next_offense_excl_terminal,197119.0,0.49971741198741654,0.4936561163561098,0.006061295631306751,0.1711633306262027,0.5041161767420905,0.008228545532299718,0.023316950470605752
2005,none,global_next_offense_excl_terminal,193817.0,0.5008091157318447,0.49541061929552105,0.005398496436323674,0.17285310386270414,0.5090993405766413,0.0088869217491423,0.026706435677101403
2006,none,global_next_offense_excl_terminal,195554.0,0.4996078301180567,0.4956124650991542,0.003995365018902519,0.17404207483463316,0.5114146062831029,0.00791371445889221,0.017869310744896727
2007,none,global_next_offense_excl_terminal,200004.0,0.4988372822925001,0.49356012879742406,0.005277153495076015,0.1676726348234773,0.4935426782028685,0.008647138715658288,0.02444898180059113
2008,none,global_next_offense_excl_terminal,198611.0,0.4991180748247225,0.4951890882176717,0.003928986607050766,0.16845468040824316,0.4967153998621484,0.00854368811204085,0.02345536517697072
2009,none,global_next_offense_excl_terminal,200397.0,0.5003341348994089,0.495256915023678,0.005077219875730898,0.17006907918484745,0.4994987465947581,0.009846413947102065,0.023945695481681573
2010,none,global_next_offense_excl_terminal,199281.0,0.49980893731443155,0.4928969645876928,0.006911972726738769,0.17304680110322998,0.507900950211114,0.009115354904710908,0.024581982847059647
