season,region,n_none,n_surface,bias_none,bias_surface,brier_none,brier_surface,log_loss_none,log_loss_surface,ece_none,ece_surface,mce_none,mce_surface,mean_pred_none,mean_pred_surface,empirical_win_rate_none,empirical_win_rate_surface,bias_surface_minus_none,brier_surface_minus_none,log_loss_surface_minus_none,ece_surface_minus_none,mce_surface_minus_none,mean_pred_surface_minus_none,empirical_win_rate_surface_minus_none
2000,global_next_offense_excl_terminal,191185.0,191185.0,0.005247175673287252,0.005253222655142331,0.1665656576723982,0.16655996739255075,0.4935298519050062,0.4934872236803404,0.013205323640463153,0.013080871459466946,0.03262076040330272,0.029985513113284956,0.4993183632664562,0.49932441024831126,0.4940711875931689,0.4940711875931689,6.046981855079014e-06,-5.6902798474534055e-06,-4.262822466577498e-05,-0.00012445218099620646,-0.002635247290017767,6.046981855079014e-06,0.0
2000,local_late45_abs7_next_offense,1951.0,1951.0,0.05502189178378636,0.0469903238858943,0.11411784353777266,0.11259482504468767,0.37227763939658165,0.3648895248719407,0.0711586897453699,0.06199892714155486,0.233020132438146,0.23196374877493064,0.370244854367077,0.36221328646918494,0.31522296258329063,0.31522296258329063,-0.008031567897892056,-0.0015230184930849905,-0.007388114524640943,-0.009159762603815041,-0.0010563836632153656,-0.008031567897892056,0.0
2001,global_next_offense_excl_terminal,192784.0,192784.0,0.006728222005477624,0.006742345533446381,0.16970617744441338,0.16970575626620477,0.5003887758081528,0.5004060160098618,0.00959814419207025,0.009389183238358335,0.029015624295272352,0.03273792405450446,0.4985325211174371,0.4985466446454059,0.4918042991119595,0.4918042991119595,1.4123527968756822e-05,-4.211782086149807e-07,1.7240201709012304e-05,-0.00020896095371191435,0.003722299759232106,1.4123527968756822e-05,0.0
2001,local_late45_abs7_next_offense,2066.0,2066.0,0.0683502743961476,0.060069148662636074,0.10962305988635122,0.10790204526560221,0.3557300171345952,0.351350125773964,0.08598587781356917,0.0785592768543673,0.3313716376152449,0.2815845999159088,0.3582825106013751,0.3500013848678636,0.2899322362052275,0.2899322362052275,-0.00828112573351153,-0.0017210146207490146,-0.004379891360631161,-0.007426600959201876,-0.04978703769933612,-0.00828112573351153,0.0
2002,global_next_offense_excl_terminal,191656.0,191656.0,0.006178845834010405,0.006177265215360772,0.16451188597981065,0.1644865001593305,0.4880158109652335,0.4879327401298675,0.016755427378208926,0.016557897889455688,0.028886048015919513,0.029869023607196593,0.4996515260527356,0.499649945434086,0.4934726802187252,0.4934726802187252,-1.580618649632548e-06,-2.5385820480144927e-05,-8.3070835366017e-05,-0.00019752948875323764,0.00098297559127708,-1.580618649632548e-06,0.0
2002,local_late45_abs7_next_offense,2066.0,2066.0,0.05204236283789848,0.043739831053180134,0.10548438105815779,0.10345311483197185,0.3459319849522898,0.3366031043027149,0.0705804764224711,0.06514450795854355,0.16480152970363504,0.35156135082708606,0.35988360194728863,0.3515810701625703,0.30784123910939015,0.30784123910939015,-0.008302531784718348,-0.002031266226185935,-0.009328880649574878,-0.0054359684639275485,0.18675982112345102,-0.008302531784718348,0.0
2003,global_next_offense_excl_terminal,189329.0,189329.0,0.006424964676800926,0.006430748287009236,0.16879271783500924,0.16876878504490153,0.49938034454062474,0.4992968065454863,0.011043520818844018,0.01107079955100229,0.028627551340936808,0.029264535234649836,0.5004274682552279,0.5004332518654362,0.49400250357842695,0.49400250357842695,5.783610208309753e-06,-2.393279010770577e-05,-8.353799513843851e-05,2.727873215827188e-05,0.0006369838937130279,5.783610208309753e-06,0.0
2003,local_late45_abs7_next_offense,2062.0,2062.0,0.06651846964273883,0.05797118269077434,0.11718177374546024,0.11518553466644067,0.38072676692591934,0.3715879026510114,0.08499302803297484,0.07376256172751977,0.2857722950893463,0.644100078821657,0.3526484405447757,0.3441011535928112,0.28612997090203685,0.28612997090203685,-0.008547286951964495,-0.0019962390790195655,-0.009138864274907954,-0.011230466305455072,0.35832778373231067,-0.008547286951964495,0.0
2004,global_next_offense_excl_terminal,197119.0,197119.0,0.006061295631306751,0.006065239608796846,0.1711633306262027,0.17115092554212824,0.5041161767420905,0.5040334844474288,0.008228545532299718,0.00793074240050921,0.023316950470605752,0.02492633810469984,0.49971741198741654,0.49972135596490663,0.4936561163561098,0.4936561163561098,3.9439774900951186e-06,-1.2405084074462724e-05,-8.269229466173478e-05,-0.0002978031317905083,0.0016093876340940866,3.9439774900951186e-06,0.0
2004,local_late45_abs7_next_offense,2108.0,2108.0,0.06479865395577328,0.055953148915878326,0.12335445236550725,0.12164072824942798,0.395098834543071,0.38660412211761896,0.08085005238650772,0.07199113693891729,0.3260865964835109,0.35420800292030696,0.3574931511094735,0.34864764606957854,0.2926944971537002,0.2926944971537002,-0.008845505039894952,-0.001713724116079271,-0.008494712425452022,-0.008858915447590432,0.02812140643679606,-0.008845505039894952,0.0
2005,global_next_offense_excl_terminal,193817.0,193817.0,0.005398496436323674,0.005414123525403769,0.17285310386270414,0.17283547374040054,0.5090993405766413,0.5090152688887809,0.0088869217491423,0.008957593232978645,0.026706435677101403,0.027031117254128045,0.5008091157318447,0.5008247428209248,0.49541061929552105,0.49541061929552105,1.562708908009469e-05,-1.763012230360239e-05,-8.407168786039865e-05,7.067148383634557e-05,0.000324681577026642,1.562708908009469e-05,0.0
