time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,413,390,0.3805850510852542,0.15012106537530268,0.23046398570995152
0-15s,3PA,562,534,0.4772038263895425,0.4288256227758007,0.04837820361374179
15-30s,2PA,382,374,0.3633949244945115,0.15968586387434555,0.20370906062016594
15-30s,3PA,177,176,0.46760043630667913,0.3898305084745763,0.07776992783210285
30-45s,2PA,321,321,0.3377023598014619,0.22118380062305296,0.11651855917840895
30-45s,3PA,142,140,0.4707950969356448,0.4154929577464789,0.05530213918916593
45-60s,2PA,309,307,0.3402986236737676,0.343042071197411,-0.002743447523643361
45-60s,3PA,132,132,0.47888336716563024,0.4318181818181818,0.04706518534744841
