time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,413,390,0.3507059786442136,0.15012106537530268,0.20058491326891092
0-15s,3PA,562,534,0.4739346023299191,0.4288256227758007,0.045108979554118356
15-30s,2PA,382,374,0.34153892045145656,0.15968586387434555,0.181853056577111
15-30s,3PA,177,176,0.4619659417921425,0.3898305084745763,0.07213543331756622
30-45s,2PA,321,321,0.3247227806876499,0.22118380062305296,0.10353898006459697
30-45s,3PA,142,140,0.4653396930988613,0.4154929577464789,0.04984673535238243
45-60s,2PA,309,307,0.3461024602235341,0.343042071197411,0.0030603890261231004
45-60s,3PA,132,132,0.47428713349901336,0.4318181818181818,0.042468951680831535
