variant,n,mean_pred,empirical_win_rate,bias,brier,log_loss,ece,mce,calibration_intercept,calibration_slope,target,orientation,exclude_terminal_next,max_time,score_abs,with_wp
none,48875,0.3755785697219085,0.3304961636828644,0.0450824060390441,0.1132215638917855,0.3664223838228123,0.0560507116669392,0.1797306333403031,-0.4103942717409888,0.957233855033544,next,offense,True,45.0,7.0,data/wp/shot_decision_states_2000_2024_rs_with_wp_late45_none.csv.gz
main,48875,0.3755854381244297,0.3304961636828644,0.0450892744415652,0.1132220887348221,0.3664752101501072,0.0560292529770175,0.1796253470610707,-0.4105926807244242,0.9568502908393952,next,offense,True,45.0,7.0,data/wp/shot_decision_states_2000_2024_rs_with_wp_late45_main.csv.gz
band,48875,0.3755943763112085,0.3304961636828644,0.0450982126283441,0.1131928489283026,0.3661243807321619,0.0561464773051711,0.1812679767608469,-0.410141133934597,0.9588275983401884,next,offense,True,45.0,7.0,data/wp/shot_decision_states_2000_2024_rs_with_wp_late45_band.csv.gz
score_band,48875,0.3714232242884263,0.3304961636828644,0.0409270606055618,0.1133858053138478,0.37048124999174,0.0500071907601799,0.1793653685874319,-0.4168178873766013,0.8615609896853546,next,offense,True,45.0,7.0,data/wp/shot_decision_states_2000_2024_rs_with_wp_late45_score_band.csv.gz
surface,48875,0.3678794930432599,0.3304961636828644,0.0373833293603955,0.1119629651870952,0.3610981755109081,0.0454713122345579,0.2142037653844841,-0.3843463143407035,0.886619860943588,next,offense,True,45.0,7.0,data/wp/shot_decision_states_2000_2024_rs_with_wp_late45_surface.csv.gz
