variant,rank_sum_selected,rank_global_brier,rank_global_log_loss,rank_global_ece,rank_local_late45_brier,rank_local_late45_log_loss,rank_local_late45_ece,rank_trailing3_mean_abs_gap,rank_trailing3_max_abs_gap,global_next_offense_n,global_next_offense_bias,global_next_offense_brier,global_next_offense_log_loss,global_next_offense_ece,global_next_offense_mce,global_next_offense_calibration_intercept,global_next_offense_calibration_slope,local_late45_abs7_next_offense_n,local_late45_abs7_next_offense_bias,local_late45_abs7_next_offense_brier,local_late45_abs7_next_offense_log_loss,local_late45_abs7_next_offense_ece,local_late45_abs7_next_offense_mce,local_late45_abs7_next_offense_calibration_intercept,local_late45_abs7_next_offense_calibration_slope,trailing3_made_0_45_n_2pa,trailing3_made_0_45_fitted_next_state_wp_2pa,trailing3_made_0_45_empirical_win_rate_2pa,trailing3_made_0_45_wp_minus_empirical_2pa,trailing3_made_0_45_abs_gap_2pa,trailing3_made_0_45_n_3pa,trailing3_made_0_45_fitted_next_state_wp_3pa,trailing3_made_0_45_empirical_win_rate_3pa,trailing3_made_0_45_wp_minus_empirical_3pa,trailing3_made_0_45_abs_gap_3pa,trailing3_made_0_45_2pa_minus_3pa_gap_diff,trailing3_made_0_45_mean_abs_gap_2pa_3pa,trailing3_made_0_45_max_abs_gap_2pa_3pa
none,28,4,4,3,3,3,4,4,3,5041234,0.0042815741340336,0.1697153667145229,0.5000783774840944,0.0043126833499296,0.0068558199399454,-0.0251967636530312,0.9908944560669236,48875,0.0450824060390441,0.1132215638917855,0.3664223838228123,0.0560507116669392,0.1797306333403031,-0.4103942717409888,0.957233855033544,1116,0.36236050606019676,0.17383512544802862,0.18852538061216814,0.18852538061216814,881,0.4742501617910613,0.4188422247446084,0.05540793704645286,0.05540793704645286,0.13311744356571528,0.1219666588293105,0.18852538061216814
main,28,5,3,2,4,4,3,3,4,5041234,0.0042814489365157,0.169715439989158,0.5000782289211594,0.004312171858579,0.0068983087308925,-0.0251960303056758,0.9908917901367424,48875,0.0450892744415652,0.1132220887348221,0.3664752101501072,0.0560292529770175,0.1796253470610707,-0.4105926807244242,0.9568502908393952,1116,0.36236643794926765,0.17383512544802862,0.18853131250123903,0.18853131250123903,881,0.47424146585932647,0.4188422247446084,0.055399241114718056,0.055399241114718056,0.13313207138652097,0.12196527680797854,0.18853131250123903
band,28,3,2,4,2,2,5,5,5,5041234,0.0042812685713191,0.1697151216600284,0.5000759815961698,0.004316844495448,0.0069008015655668,-0.0251950480300906,0.9909063315097292,48875,0.0450982126283441,0.1131928489283026,0.3661243807321619,0.0561464773051711,0.1812679767608469,-0.410141133934597,0.9588275983401884,1116,0.3625111747847481,0.17383512544802862,0.18867604933671947,0.18867604933671947,881,0.4741810118373769,0.4188422247446084,0.05533878709276846,0.05533878709276846,0.133337262243951,0.12200741821474397,0.18867604933671947
score_band,28,2,5,5,5,5,2,2,2,5041234,0.0042955156349358,0.1697122245331448,0.5000891939722177,0.0043288552860165,0.0069632300978711,-0.0252769333408552,0.9909524248985984,48875,0.0409270606055618,0.1133858053138478,0.37048124999174,0.0500071907601799,0.1793653685874319,-0.4168178873766013,0.8615609896853546,1116,0.35254113492341105,0.17383512544802862,0.17870600947538243,0.17870600947538243,881,0.47155689246023236,0.4188422247446084,0.05271466771562394,0.05271466771562394,0.12599134175975849,0.11571033859550318,0.17870600947538243
surface,8,1,1,1,1,1,1,1,1,5041234,0.0042984139623599,0.1696999406037717,0.5000126102411065,0.0042984139623596,0.0068246892345579,-0.025299780016886,0.9913277436378198,48875,0.0373833293603955,0.1119629651870952,0.3610981755109081,0.0454713122345579,0.2142037653844841,-0.3843463143407035,0.886619860943588,1116,0.34009448870363107,0.17383512544802862,0.16625936325560245,0.16625936325560245,881,0.4701446704048377,0.4188422247446084,0.05130244566022929,0.05130244566022929,0.11495691759537316,0.10878090445791587,0.16625936325560245
