time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,413,390,0.3805864911556311,0.15012106537530268,0.23046542578032841
0-15s,3PA,562,534,0.47721476817401,0.4288256227758007,0.048389145398209266
15-30s,2PA,382,374,0.36337501710768333,0.15968586387434555,0.20368915323333778
15-30s,3PA,177,176,0.4676121180258366,0.3898305084745763,0.07778160955126029
30-45s,2PA,321,321,0.33770357439491905,0.22118380062305296,0.11651977377186609
30-45s,3PA,142,140,0.4707911826306916,0.4154929577464789,0.05529822488421271
45-60s,2PA,309,307,0.34046104945366884,0.343042071197411,-0.00258102174374214
45-60s,3PA,132,132,0.4788552580414529,0.4318181818181818,0.04703707622327108
