time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,413,390,0.37260383594418633,0.15012106537530268,0.22248277056888366
0-15s,3PA,562,534,0.4746106429517258,0.4288256227758007,0.04578502017592506
15-30s,2PA,382,374,0.35127133900306146,0.15968586387434555,0.1915854751287159
15-30s,3PA,177,176,0.4645399094411584,0.3898305084745763,0.07470940096658213
30-45s,2PA,321,321,0.3282394729919263,0.22118380062305296,0.10705567236887334
30-45s,3PA,142,140,0.46821744329232284,0.4154929577464789,0.05272448554584397
45-60s,2PA,309,307,0.3460097176623295,0.343042071197411,0.0029676464649185386
45-60s,3PA,132,132,0.4757685966800577,0.4318181818181818,0.0439504148618759
