season,shot_type,n_none,n_surface,wp_minus_empirical_none,wp_minus_empirical_surface,abs_gap_none,abs_gap_surface,fitted_next_state_wp_none,fitted_next_state_wp_surface,empirical_win_rate_none,empirical_win_rate_surface,gap_surface_minus_none,abs_gap_surface_minus_none,surface_improved_abs_gap
2000,2PA,33.0,33.0,0.14394948082715117,0.12563162746717207,0.14394948082715117,0.12563162746717207,0.3560706929483633,0.3377528395883842,0.21212121212121213,0.21212121212121213,-0.018317853359979097,-0.018317853359979097,True
2000,3PA,39.0,39.0,0.07868775987694693,0.07588507038075143,0.07868775987694693,0.07588507038075143,0.46330314449233156,0.46050045499613607,0.38461538461538464,0.38461538461538464,-0.0028026894961954985,-0.0028026894961954985,True
2001,2PA,33.0,33.0,0.31796073565034544,0.2922890417925009,0.31796073565034544,0.2922890417925009,0.34826376595337577,0.3225920720955312,0.030303030303030304,0.030303030303030304,-0.025671693857844513,-0.025671693857844513,True
2001,3PA,35.0,35.0,-0.028222196573861602,-0.03198862480582487,0.028222196573861602,0.03198862480582487,0.48606351771185263,0.48229708947988936,0.5142857142857142,0.5142857142857142,-0.0037664282319632703,0.0037664282319632703,False
2002,2PA,45.0,45.0,0.22947917484540833,0.20935960677803198,0.22947917484540833,0.20935960677803198,0.36281250817874167,0.3426929401113653,0.13333333333333333,0.13333333333333333,-0.02011956806737636,-0.02011956806737636,True
2002,3PA,34.0,34.0,0.027735262278132333,0.02439027593638582,0.027735262278132333,0.02439027593638582,0.4689117328663676,0.4655667465246211,0.4411764705882353,0.4411764705882353,-0.003344986341746514,-0.003344986341746514,True
2003,2PA,45.0,45.0,0.19029126419530423,0.1646294718478687,0.19029126419530423,0.1646294718478687,0.3458468197508598,0.32018502740342425,0.15555555555555556,0.15555555555555556,-0.02566179234743554,-0.02566179234743554,True
2003,3PA,35.0,35.0,-0.12156789314786798,-0.12647780797422487,0.12156789314786798,0.12647780797422487,0.478432106852132,0.4735221920257751,0.6,0.6,-0.004909914826356887,0.004909914826356887,False
2004,2PA,52.0,52.0,0.20152894408166028,0.1846317475134543,0.20152894408166028,0.1846317475134543,0.37460586715858335,0.35770867059037736,0.17307692307692307,0.17307692307692307,-0.016897196568205985,-0.016897196568205985,True
2004,3PA,32.0,32.0,0.10891906705820509,0.10584848375167538,0.10891906705820509,0.10584848375167538,0.4839190670582051,0.4808484837516754,0.375,0.375,-0.003070583306529706,-0.003070583306529706,True
2005,2PA,53.0,53.0,0.19439827509549581,0.17283076081656554,0.19439827509549581,0.17283076081656554,0.3642095958502128,0.3426420815712825,0.16981132075471697,0.16981132075471697,-0.021567514278930278,-0.021567514278930278,True
2005,3PA,33.0,33.0,-0.07028435539085337,-0.0721433529481953,0.07028435539085337,0.0721433529481953,0.47517019006369204,0.4733111925063501,0.5454545454545454,0.5454545454545454,-0.0018589975573419237,0.0018589975573419237,False
2006,2PA,47.0,47.0,0.1309293281589735,0.11052649533767178,0.1309293281589735,0.11052649533767178,0.3862484770951437,0.365845644273842,0.2553191489361702,0.2553191489361702,-0.02040283282130173,-0.02040283282130173,True
2006,3PA,47.0,47.0,0.13711008319509937,0.13491762990272915,0.13711008319509937,0.13491762990272915,0.477535615109993,0.47534316181762276,0.3404255319148936,0.3404255319148936,-0.0021924532923702222,-0.0021924532923702222,True
2007,2PA,47.0,47.0,0.31369648454855914,0.2932061341456226,0.31369648454855914,0.2932061341456226,0.39880286752728256,0.378312517124346,0.0851063829787234,0.0851063829787234,-0.020490350402936564,-0.020490350402936564,True
2007,3PA,36.0,36.0,0.30382837342931057,0.2995482944139134,0.30382837342931057,0.2995482944139134,0.47049504009597726,0.4662149610805801,0.16666666666666666,0.16666666666666666,-0.004280079015397176,-0.004280079015397176,True
2008,2PA,42.0,42.0,0.22450441612588723,0.20593340756863426,0.22450441612588723,0.20593340756863426,0.3673615589830301,0.3487905504257771,0.14285714285714285,0.14285714285714285,-0.018571008557252966,-0.018571008557252966,True
2008,3PA,36.0,36.0,-0.02765863920577577,-0.031180315754955723,0.02765863920577577,0.031180315754955723,0.47234136079422423,0.4688196842450443,0.5,0.5,-0.003521676549179953,0.003521676549179953,False
2009,2PA,44.0,44.0,0.19911580281167354,0.1781137161094937,0.19911580281167354,0.1781137161094937,0.35820671190258263,0.3372046252004028,0.1590909090909091,0.1590909090909091,-0.021002086702179845,-0.021002086702179845,True
2009,3PA,34.0,34.0,0.14357542763095704,0.13952429869939825,0.14357542763095704,0.13952429869939825,0.46710483939566294,0.46305371046410415,0.3235294117647059,0.3235294117647059,-0.0040511289315587895,-0.0040511289315587895,True
2010,2PA,58.0,58.0,0.15405004808812678,0.1324899675624988,0.15405004808812678,0.1324899675624988,0.3437052205019199,0.3221451399762919,0.1896551724137931,0.1896551724137931,-0.021560080525627967,-0.021560080525627967,True
2010,3PA,37.0,37.0,0.038843177203817525,0.03500129072485053,0.038843177203817525,0.03500129072485053,0.47127560963625,0.467433723157283,0.43243243243243246,0.43243243243243246,-0.0038418864789669938,-0.0038418864789669938,True
2011,2PA,34.0,34.0,0.19815326338643305,0.17625679975576955,0.19815326338643305,0.17625679975576955,0.3746238516217272,0.3527273879910637,0.17647058823529413,0.17647058823529413,-0.0218964636306635,-0.0218964636306635,True
2011,3PA,28.0,28.0,-0.09035881905375232,-0.09523916225523538,0.09035881905375232,0.09523916225523538,0.4810697523748191,0.476189409173336,0.5714285714285714,0.5714285714285714,-0.004880343201483062,0.004880343201483062,False
2012,2PA,50.0,50.0,0.2101454415205268,0.18852029669617684,0.2101454415205268,0.18852029669617684,0.3701454415205268,0.34852029669617685,0.16,0.16,-0.021625144824349962,-0.021625144824349962,True
2012,3PA,41.0,41.0,0.12433882117761175,0.11928977126395302,0.12433882117761175,0.11928977126395302,0.4901924797141971,0.4851434298005384,0.36585365853658536,0.36585365853658536,-0.005049049913658732,-0.005049049913658732,True
2013,2PA,46.0,46.0,0.1264415600522605,0.10001229974436707,0.1264415600522605,0.10001229974436707,0.322093733965304,0.29566447365741055,0.1956521739130435,0.1956521739130435,-0.026429260307893443,-0.026429260307893443,True
2013,3PA,40.0,40.0,0.027705707216430453,0.020970376676389624,0.027705707216430453,0.020970376676389624,0.47770570721643046,0.47097037667638963,0.45,0.45,-0.006735330540040829,-0.006735330540040829,True
2014,2PA,40.0,40.0,0.24329742560861095,0.22175633257387756,0.24329742560861095,0.22175633257387756,0.36829742560861095,0.34675633257387756,0.125,0.125,-0.021541093034733394,-0.021541093034733394,True
2014,3PA,38.0,38.0,-0.14405899195055238,-0.1471555513741694,0.14405899195055238,0.1471555513741694,0.46120416594418445,0.4581076065205674,0.6052631578947368,0.6052631578947368,-0.003096559423617029,0.003096559423617029,False
