variant,season,time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
none,2000,0-15s,2PA,5,5,0.3809908247715592,0.2,0.1809908247715592
none,2000,0-15s,3PA,24,22,0.4645712508634155,0.375,0.0895712508634155
none,2000,15-30s,2PA,13,13,0.37259964308565763,0.15384615384615385,0.21875348923950377
none,2000,15-30s,3PA,9,9,0.46974066701662626,0.3333333333333333,0.13640733368329294
none,2000,30-45s,2PA,15,15,0.3334388922216428,0.26666666666666666,0.06677222555497614
none,2000,30-45s,3PA,6,6,0.4485744352215539,0.5,-0.05142556477844612
none,2000,45-60s,2PA,17,16,0.3520530093082666,0.29411764705882354,0.05793536224944307
none,2000,45-60s,3PA,3,3,0.4795313635149863,0.6666666666666666,-0.1871353031516803
none,2001,0-15s,2PA,14,13,0.3463275243389751,0.0,0.3463275243389751
none,2001,0-15s,3PA,24,23,0.4933989872932772,0.5,-0.006601012706722809
none,2001,15-30s,2PA,12,11,0.3588759919206999,0.08333333333333333,0.2755426585873666
none,2001,15-30s,3PA,5,5,0.48247843249641165,0.6,-0.11752156750358833
none,2001,30-45s,2PA,7,7,0.33394386180962143,0.0,0.33394386180962143
none,2001,30-45s,3PA,6,6,0.4597092103990217,0.5,-0.040290789600978316
none,2001,45-60s,2PA,13,13,0.33383453960668485,0.3076923076923077,0.026142231914377145
none,2001,45-60s,3PA,7,7,0.4851259353610763,0.14285714285714285,0.34226879250393344
none,2002,0-15s,2PA,23,23,0.3665943893963776,0.08695652173913043,0.2796378676572472
none,2002,0-15s,3PA,26,26,0.46719755579053845,0.5,-0.032802444209461545
none,2002,15-30s,2PA,11,11,0.39493923850589974,0.0,0.39493923850589974
none,2002,15-30s,3PA,3,3,0.477695387747346,0.0,0.477695387747346
none,2002,30-45s,2PA,11,11,0.3227782080328904,0.36363636363636365,-0.04085815560347322
none,2002,30-45s,3PA,5,5,0.47255526073209236,0.4,0.07255526073209234
none,2002,45-60s,2PA,8,8,0.3621208070447711,0.375,-0.01287919295522888
none,2002,45-60s,3PA,4,4,0.4984526734661728,0.25,0.24845267346617278
none,2003,0-15s,2PA,15,14,0.352964494710314,0.06666666666666667,0.28629782804364734
none,2003,0-15s,3PA,28,25,0.4834518660429105,0.6071428571428571,-0.12369099109994658
