time_bin,shot_type,n,n_games,fitted_next_state_wp,empirical_win_rate,wp_minus_empirical
0-15s,2PA,413,390,0.38091108713911087,0.15012106537530268,0.2307900217638082
0-15s,3PA,562,534,0.4770611118362212,0.4288256227758007,0.04823548906042047
15-30s,2PA,382,374,0.3632696553063115,0.15968586387434555,0.20358379143196595
15-30s,3PA,177,176,0.46762091591812377,0.3898305084745763,0.07779040744354748
30-45s,2PA,321,321,0.3379351518514489,0.22118380062305296,0.11675135122839594
30-45s,3PA,142,140,0.47095932717792155,0.4154929577464789,0.055466369431442675
45-60s,2PA,309,307,0.34075391789954546,0.343042071197411,-0.002288153297865525
45-60s,3PA,132,132,0.478279106144441,0.4318181818181818,0.0464609243262592
