bin,count,pred_mean,obs_rate,abs_gap,bin_left,bin_right
0,1443,0.08683902648944286,0.07345807345807345,0.013380953031369408,0.0,0.1
1,41198,0.16565228204159108,0.1501286470217001,0.015523635019890986,0.1,0.2
2,117267,0.2514498866529371,0.25038587155806835,0.0010640150948687532,0.2,0.30000000000000004
3,89576,0.34724188433317793,0.34943511654907566,0.0021932322158977335,0.30000000000000004,0.4
4,44781,0.44072682157766796,0.440253679015654,0.00047314256201397287,0.4,0.5
5,17445,0.5439713313880914,0.5473201490398395,0.003348817651748104,0.5,0.6000000000000001
6,8393,0.6443173337377582,0.6699630644584773,0.025645730720719073,0.6000000000000001,0.7000000000000001
7,4259,0.7431348499683014,0.794083118102841,0.050948268134539676,0.7000000000000001,0.8
8,1429,0.8308800471421303,0.8894331700489853,0.05855312290685499,0.8,0.9
