time_left_game,score_diff,tau_catboost,tau_xgb,tau_lgbm,tau_mean_ensemble,tau_std_across_models,tau_sign_agree_ratio,tau_sign_disagree
30.0,-10.0,0.00835510715842247,0.010847299359738827,0.007163654081523418,0.008788686866561571,0.0015347755875940866,1.0,0
30.0,-9.0,0.006725536659359932,0.009717042557895184,0.006538014858961105,0.007660198025405407,0.0014564221410774693,1.0,0
30.0,-8.0,0.0033360093366354704,0.006728713400661945,0.001963450573384762,0.004009391103560726,0.002002833776806914,1.0,0
30.0,-7.0,0.01410744059830904,0.016218550503253937,0.01161593571305275,0.013980642271538576,0.0018811475378074456,1.0,0
30.0,-6.0,0.011400524526834488,0.018315203487873077,0.014577621594071388,0.014764449869592985,0.0028259953865211467,1.0,0
30.0,-5.0,0.012117546051740646,0.01663861982524395,0.01722855120897293,0.01532823902865251,0.0022830413638201224,1.0,0
30.0,-4.0,0.007833370938897133,0.0072347973473370075,0.01651626266539097,0.010528143650541702,0.004241285150213144,1.0,0
30.0,-3.0,0.006683339364826679,0.008055474609136581,0.007252356968820095,0.007330390314261119,0.000562882867874473,1.0,0
30.0,-2.0,0.009969297796487808,0.00877444539219141,0.007572024594992399,0.008771922594557205,0.0009786843120683127,1.0,0
30.0,-1.0,0.014851351268589497,0.006562609225511551,0.009780782274901867,0.010398247589667639,0.0034119162480318968,1.0,0
30.0,0.0,0.0017470434540882707,0.00019537709886208177,0.0007658888935111463,0.0009027698154871663,0.000640816879504062,1.0,0
30.0,1.0,0.0020642648451030254,0.0022504085209220648,0.00020390447753015906,0.0015061926145184164,0.0009239870709113902,1.0,0
30.0,2.0,-0.0002315419405931607,0.0005292370333336294,-0.0006374343647621572,-0.00011324642400722951,0.0004835810236950602,0.3333333333333333,1
30.0,3.0,-0.0038038792554289103,-0.002788812154904008,-0.000935789430513978,-0.002509493613615632,0.0011874339129893338,0.0,0
30.0,4.0,0.0016587685095146298,0.000696937320753932,0.0027548468206077814,0.0017035175502921145,0.0008407337013525979,1.0,0
30.0,5.0,0.001390960649587214,-0.0008205653284676373,0.0018623605137690902,0.0008109186116295556,0.001169575234314854,0.6666666666666666,1
30.0,6.0,-0.0012927752686664462,-0.0007349577499553561,0.0008378984057344496,-0.00039661153762911755,0.0009021460326144128,0.3333333333333333,1
30.0,7.0,-0.0013766655465587974,-0.0016899238107725978,0.0006356093217618763,-0.000810326678523173,0.001030398263687333,0.3333333333333333,1
30.0,8.0,-0.0011134035885334015,-0.0016899238107725978,0.0005288682878017426,-0.0007581530371680856,0.0009400041878835796,0.3333333333333333,1
30.0,9.0,-0.0011134035885334015,-0.0016899238107725978,0.0005288682878017426,-0.0007581530371680856,0.0009400041878835796,0.3333333333333333,1
30.0,10.0,-0.0014389673015102744,-0.0016899238107725978,0.0005288682878017426,-0.0008666742748270432,0.0009921018346475902,0.3333333333333333,1
41.25,-10.0,0.005516619421541691,0.008191109634935856,0.004152071662247181,0.005953266906241576,0.0016775880912044158,1.0,0
41.25,-9.0,0.003754393896088004,0.0070608509704470634,0.002470492385327816,0.004428579083954294,0.0019336911569410844,1.0,0
41.25,-8.0,0.0016192217590287328,0.003828126471489668,-0.0014089781325310469,0.0013461233659957845,0.002146742215167225,0.6666666666666666,1
41.25,-7.0,0.007691306062042713,0.010221977718174458,0.00519038550555706,0.007701223095258077,0.0020541508885147416,1.0,0
41.25,-6.0,0.007115782238543034,0.01075275894254446,0.00318539934232831,0.007017980174471934,0.0030901355701164427,1.0,0
41.25,-5.0,0.0069530075415968895,0.007409272249788046,0.005827422719448805,0.00672990083694458,0.0006647778753860715,1.0,0
41.25,-4.0,0.004958985839039087,0.007520589977502823,0.005367211997509003,0.005948929271350305,0.0011237586278682954,1.0,0
41.25,-3.0,0.0035244273021817207,0.009227688424289227,0.0016652956837788224,0.00480580380341659,0.0032175446429297404,1.0,0
41.25,-2.0,0.004217981360852718,0.009227688424289227,0.0016652956837788224,0.0050369884896402555,0.0031411808287314207,1.0,0
41.25,-1.0,0.006205838173627853,0.009851873852312565,0.002848782343789935,0.006302164789910118,0.00285981139027719,1.0,0
41.25,0.0,0.0033303676173090935,-0.0011750705307349563,0.004250409547239542,0.00213523554460456,0.0023706840113533784,0.6666666666666666,1
41.25,1.0,-0.0008901537512429059,-0.0006985200452618301,-0.001438877428881824,-0.00100918374179552,0.0003137497600088084,0.0,0
41.25,2.0,-0.0029171768110245466,-0.002419643336907029,-0.001696453313343227,-0.002344424487091601,0.0005011885014466419,0.0,0
41.25,3.0,-0.004375746939331293,-0.0047125741839408875,-0.0019337404519319534,-0.0036740205250680447,0.0012382229734297298,0.0,0
41.25,4.0,0.0009087826474569738,-0.0012268157443031669,0.0017568954499438405,0.00047962078436588246,0.0012553267970844852,0.6666666666666666,1
41.25,5.0,0.00029282260220497847,-0.0024999321904033422,0.0007666619494557381,-0.0004801492129142086,0.001441243303278321,0.6666666666666666,1
41.25,6.0,-0.000711678119841963,-0.002414324088022113,-0.0002578003332018852,-0.0011279341803553204,0.0009282961119569403,0.0,0
41.25,7.0,-0.0007955683977343142,-0.0033692927099764347,-0.0004600893589667976,-0.0015416501555591822,0.0012995754502658958,0.0,0
41.25,8.0,-0.0009606860112398863,-0.0033692927099764347,-0.0005668303929269314,-0.0016322697047144175,0.0012387405573474719,0.0,0
41.25,9.0,-0.0009606860112398863,-0.0033692927099764347,-0.0005668303929269314,-0.0016322697047144175,0.0012387405573474719,0.0,0
41.25,10.0,-0.0012862493749707937,-0.0033692927099764347,-0.0005668303929269314,-0.0017407908259580533,0.001188389584723747,0.0,0
52.5,-10.0,0.006749742664396763,0.0035916620399802923,0.0026925692800432444,0.0043446579948067665,0.0017398115125237792,1.0,0
52.5,-9.0,0.0049875169061124325,0.002461405238136649,0.00147554452996701,0.002974822224738697,0.0014790053514216407,1.0,0
52.5,-8.0,0.002244961215183139,-0.0007713584927842021,0.0009243760141544044,0.0007993262455177804,0.00123457799231022,0.6666666666666666,1
52.5,-7.0,0.008317044004797935,0.00562244700267911,0.004465771373361349,0.006135087460279465,0.0016135210771249418,1.0,0
52.5,-6.0,0.008450495079159737,0.005126283038407564,0.005116190295666456,0.006230989471077919,0.0015694328750844976,1.0,0
52.5,-5.0,0.008240779861807823,0.009668707847595215,0.005508776754140854,0.00780608815451463,0.0017258764605969923,1.0,0
52.5,-4.0,0.0068834624253213406,0.00929307658225298,0.002684034639969468,0.006286857882514596,0.002730910908358709,1.0,0
52.5,-3.0,0.00721844844520092,0.009944992139935493,0.0035489555448293686,0.006904132043321927,0.0026206127949841306,1.0,0
52.5,-2.0,0.00711122015491128,0.009944992139935493,0.0035489555448293686,0.006868389279892047,0.0026168105468147213,1.0,0
52.5,-1.0,0.008687526918947697,0.010569182224571705,0.002861845074221492,0.007372851405913631,0.003280959236333248,1.0,0
52.5,0.0,0.001478336052969098,0.00478993309661746,0.0016632629558444023,0.0026438440351436534,0.0015193909272435246,1.0,0
52.5,1.0,-0.0012557810405269265,0.0023984434083104134,-0.0014539419207721949,-0.00010375985099623601,0.0017711733957612222,0.3333333333333333,1
52.5,2.0,-0.0034072797279804945,-0.0017530645709484816,-0.000698251067660749,-0.001952865122196575,0.0011149437252817532,0.0,0
52.5,3.0,-0.004938161000609398,-0.004600036423653364,-0.0026690433733165264,-0.004069080265859763,0.000999553077712573,0.0,0
52.5,4.0,2.4644608856760897e-05,-0.0011142819421365857,0.0010215925285592675,-2.26816015735191e-05,0.0008726090251988922,0.6666666666666666,1
52.5,5.0,-0.0003584423684515059,-0.002387407934293151,0.0002267226664116606,-0.0008397092121109987,0.0011201586287932028,0.3333333333333333,1
52.5,6.0,-0.0008974199299700558,-0.0023017972707748413,-0.0001757369755068794,-0.001124984725417259,0.0008827503976677737,0.0,0
52.5,7.0,-0.0009813102660700679,-0.0038753976114094257,-0.0007993440376594663,-0.0018853506383796532,0.0014091352296637383,0.0,0
52.5,8.0,-0.0012915473198518157,-0.0038753976114094257,-0.0010516972979530692,-0.002072880743071437,0.0012783276324253889,0.0,0
52.5,9.0,-0.0012915473198518157,-0.0038753976114094257,-0.0010516972979530692,-0.002072880743071437,0.0012783276324253889,0.0,0
52.5,10.0,-0.0016084701055660844,-0.0038753976114094257,-0.0010516972979530692,-0.00217852167164286,0.0012212125002208037,0.0,0
63.75,-10.0,0.005445382557809353,0.0041338130831718445,0.003224090440198779,0.004267762027059992,0.000911771684731172,1.0,0
