window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-10,0.015106857293674699,0.015106857293674699,0.022999196196892686,0.011284218419975768,0.011037157264155642,0.013880878,0.014697162,0.01197467,0.02291533737364284,0.8385964912280702,95,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-9,0.01840022465709824,0.01840022465709824,0.03093343744680138,0.011560430378750205,0.012706806145743143,0.017738806,0.015088806,0.013766218,0.02344295540176227,0.8508771929824562,76,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-8,0.011058599061399887,0.011058599061399887,0.020224451271721212,0.010128298628832336,0.002823047283646117,0.012531692,0.013058176,0.0031608602,0.022579919994038865,0.8627450980392157,119,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-7,0.02462127762498433,0.02462127762498433,0.03999739247520618,0.014811215033815061,0.019055225365931742,0.022146044,0.019698113,0.020578127,0.025740188370628362,0.8633879781420765,122,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-6,0.020277307765057484,0.020277307765057484,0.045518084509933464,0.009129452183075286,0.006184386602163707,0.024830414,0.011641906,0.0067676054,0.025367250999850974,0.8698412698412697,105,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-5,0.029194968973743,0.029194968973743,0.05307430977080107,0.01573927391121133,0.0187713232392166,0.028504537,0.021014014,0.020273495,0.022902912631710546,0.9287531806615776,131,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-4,0.01992133473322115,0.01992133473322115,0.028453134309576494,0.013582239420810506,0.017728630469276443,0.01653279,0.017955542,0.019154677,0.025487366565896376,0.90625,128,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-3,0.013059655326869502,0.013059655326869502,0.013113423606624435,0.01317635677623883,0.012889185597745236,0.009074042,0.017380038,0.013961912,0.022128526154990707,0.8564102564102564,130,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-2,0.013901374623124105,0.013901374623124105,0.016484157920931428,0.011911298667735847,0.013308667280705042,0.010713019,0.0155863045,0.014412019,0.019868063652626656,0.8721804511278195,133,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,-1,0.016314312522758872,0.016314312522758872,0.02328754099093585,0.01208964520450201,0.01356575137283876,0.014021082,0.015839184,0.014687873,0.015941028915148633,0.888888888888889,102,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,0,-0.010563184576981586,-0.010563184576981586,-0.020787951030120794,-0.00884511536105137,-0.0020564873397725903,-0.007410089,-0.013844351,-0.0020749222,0.009226318473982734,0.8285024154589372,138,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,1,0.006963076456354796,0.006963076456354796,0.01370003484160283,0.0010035916328436916,0.006185602894617865,0.009359274,0.00012019491,0.006768911,0.008320453670412469,0.7966101694915254,118,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,2,-0.0022723292623802903,-0.0022723292623802903,-0.003242007260703624,-0.004268856105414375,0.0006938755789771287,0.0011214123,-0.007355643,0.0008762407,0.006254488210943358,0.7647058823529411,119,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,3,-0.007744608774878545,-0.007744608774878545,-0.017635411699637497,-0.0009038394873022727,-0.004694575137695864,-0.0058772056,-0.0025843643,-0.0049056127,0.00579053555926172,0.9243697478991597,119,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,4,-0.0007003065459136729,-0.0007003065459136729,-0.005089244414491784,0.0029832557888517216,5.068987899043663e-06,0.00022321567,0.0029271736,0.0001371454,0.006723724490459648,0.7184466019417476,103,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,5,-0.0031900969092360253,-0.0031900969092360253,-0.011122292229775992,0.0025266931485967395,-0.0009746916465288235,-0.0027102805,0.0022798106,-0.00091414613,0.005952608167130106,0.7269076305220883,83,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,6,-0.007937994940822927,-0.007937994940822927,-0.019830956489522877,0.0006872030963055065,-0.004670231429251408,-0.0069447625,-0.00032841446,-0.0048794914,0.005393982232906607,0.7044025157232704,53,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,7,-0.009109489508095448,-0.009109489508095448,-0.0217903579513421,-0.00047665789870586793,-0.005061452674238376,-0.007897498,-0.0019786605,-0.0052992757,0.005958619186119391,0.8857142857142857,35,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,8,-0.009768095668500457,-0.009768095668500457,-0.022581331652540133,-0.0010022478018495513,-0.005720707551111687,-0.008282099,-0.002723898,-0.0060066613,0.0056752041069472944,0.9722222222222222,60,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,9,-0.008248302112760694,-0.008248302112760694,-0.017441050625994447,-0.0006108926718764153,-0.006692963040411216,-0.0057826997,-0.0021689928,-0.0070499,0.0063120013554534855,0.9166666666666666,48,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,30,45,37.5,10,-0.010210841726235386,-0.010210841726235386,-0.02264537210185104,-0.0009716494122112219,-0.007015503664643903,-0.008313238,-0.0026805124,-0.007395989,0.005453634822109872,0.9590643274853801,57,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-10,0.017496548721981003,0.017496548721981003,0.029033372294909786,0.010639064825310253,0.012817209045722972,0.016814923,0.013782395,0.01388468,0.02199969980596371,0.8498168498168498,91,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-9,0.02146457219759996,0.02146457219759996,0.03648232069462079,0.011945171526749692,0.0159662243714294,0.020436883,0.015634332,0.0172636,0.021462934616145894,0.8806584362139918,81,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-8,0.016443921588746524,0.016443921588746524,0.02658300229376523,0.010551722223142794,0.012197040249331544,0.0156234605,0.0136585515,0.0132192345,0.021251461597445575,0.9058823529411765,85,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-7,0.02204919395430049,0.02204919395430049,0.03578222442912303,0.01388736156284121,0.016477995870937224,0.02009647,0.018388176,0.017812736,0.024249771894590166,0.8674698795180723,83,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-6,0.029282401923623937,0.029282401923623937,0.05088822905932129,0.016377435486847225,0.020581541224703296,0.027441582,0.021918867,0.022215875,0.023937432846656632,0.9326599326599326,99,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-5,0.03135871805775007,0.03135871805775007,0.05457303009568125,0.021572920893142656,0.017930203184426313,0.029233271,0.02928558,0.019370968,0.02095383547862067,0.977961432506887,121,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-4,0.027763986360845407,0.027763986360845407,0.044049111876403056,0.018504905321909525,0.020737941884223638,0.024116144,0.02493542,0.022383694,0.019742911031389133,0.9415204678362573,114,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-3,0.030330896820106888,0.030330896820106888,0.04730283831521576,0.020598103412353727,0.02309174873275119,0.02569823,0.027903382,0.02490935,0.018380952780476852,0.9385964912280702,114,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-2,0.026073551164246225,0.026073551164246225,0.033468399250871354,0.018935464418303242,0.02581678982356407,0.0189714,0.025545914,0.027833343,0.0161962821130833,0.9180327868852459,122,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,-1,0.030109065328810976,0.030109065328810976,0.04432727404416754,0.01918227269929714,0.026817649242968252,0.024251396,0.025895866,0.028907271,0.013849899285821058,0.9707602339181287,114,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,0,0.0024828996586829894,0.0024828996586829894,0.003275261111293703,0.0021970274232870576,0.0019764104414682084,0.0042903544,0.0018123753,0.0022524116,0.007739709110595131,0.7385057471264367,116,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,1,0.012035356247182466,0.012035356247182466,0.018413758886973504,0.0075365253154091785,0.010155784539164714,0.011651265,0.0093832845,0.011028949,0.00650272229280556,0.9492063492063493,105,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,2,-0.0018856577587854804,-0.0018856577587854804,-0.004044515161158079,-0.004097556001191822,0.00248509788599346,0.00073120254,-0.0071127554,0.0027982376,0.005301624458369461,0.723404255319149,94,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,3,-0.008344435704803792,-0.008344435704803792,-0.021350031136101878,-0.0010458352338868287,-0.0026374407444226746,-0.007683394,-0.0027857008,-0.0026982902,0.006119491794711258,0.9233333333333333,100,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,4,0.0005879355173420086,0.0005879355173420086,-0.003731245943988599,0.002821507222653978,0.0026735452733606464,0.0008835258,0.0026978292,0.0030004433,0.005262297306199412,0.7986798679867987,101,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,5,-0.0023819407311609984,-0.0023819407311609984,-0.010013087178663284,0.0022079449585082752,0.000659320026672014,-0.002170943,0.0018278554,0.0008391623,0.005967678496598137,0.7051282051282052,78,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,6,-0.006814115125476955,-0.006814115125476955,-0.017766136242007024,0.0002423346039643503,-0.002918543738388191,-0.0059407684,-0.00095919636,-0.002999916,0.00582979172482943,0.78743961352657,69,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,7,-0.008625457470259307,-0.008625457470259307,-0.02146575315708846,-0.0006168379525570117,-0.00379378130113245,-0.0077396627,-0.0021774226,-0.0039390535,0.006558775003824486,0.912568306010929,61,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,8,-0.009708825656252898,-0.009708825656252898,-0.022723692257699553,-0.001147598521587772,-0.005255186189471374,-0.00835132,-0.0029299916,-0.0055071535,0.004734019182559651,0.9883040935672515,57,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,9,-0.008080351900212165,-0.008080351900212165,-0.018669546614470612,-0.0008905347624683237,-0.004680974323697559,-0.006380041,-0.0025654994,-0.004891019,0.0063935058169854305,0.9191919191919191,66,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,45,60,52.5,10,-0.010483141218064547,-0.010483141218064547,-0.024890350254316712,-0.0010741984636701946,-0.005484874936206731,-0.009404832,-0.0028259172,-0.005753611,0.007677517428853344,0.9666666666666667,50,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-10,0.010558855057330773,0.010558855057330773,0.017840298319344323,0.0066217433721021315,0.007214523480545865,0.011372427,0.008086208,0.007872951,0.012093187242933054,0.9005847953216375,57,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-9,0.009130423611970938,0.009130423611970938,0.016552073542288968,0.005638556104002024,0.0052006411896218215,0.010746044,0.0066921413,0.005712039,0.013598943874618505,0.8535353535353535,66,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-8,0.001340376883385309,0.001340376883385309,-0.00254210998978896,0.0034777982676968294,0.0030854423722480578,0.0014617287,0.0036283887,0.0034424122,0.014336723082732795,0.975,80,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-7,0.01686578630917056,0.01686578630917056,0.02869888359728158,0.01077111711317796,0.011127358217052142,0.016652282,0.013969634,0.012071457,0.016360925512296624,0.9027777777777778,72,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-6,0.02079559307640352,0.02079559307640352,0.03573815198439313,0.013146742515657244,0.013501884729160179,0.020075042,0.017338047,0.014619344,0.01618457961579997,0.928888888888889,75,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-5,0.021242104261242564,0.021242104261242564,0.03230853171942882,0.017108683059774046,0.014309098004524822,0.018407429,0.022955708,0.015485491,0.013909618333478084,0.9528619528619529,99,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-4,0.013736788363755359,0.013736788363755359,0.01745889498233974,0.011268000761211256,0.012483469347715078,0.011186974,0.014674167,0.013526576,0.013229457702075908,0.8775510204081632,98,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-3,0.015617147334461899,0.015617147334461899,0.0169374805506129,0.013348088742524078,0.01656587271024872,0.010933443,0.017623538,0.017907029,0.010180413757548436,0.8958333333333333,112,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-2,0.014050094454941611,0.014050094454941611,0.012787805137573403,0.01337210283484634,0.015990375392405092,0.008915713,0.01765759,0.017289516,0.0113768647543532,0.8879310344827587,116,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,-1,0.016606965955478583,0.016606965955478583,0.018615225057811356,0.013651970168599467,0.01755370264002493,0.011749226,0.018054413,0.018966978,0.00925913076307807,0.9136904761904762,112,True
30--300s,train2000_2009_test2010_2012,2000-2009,2010-2012,60,75,67.5,0,-0.00026454676911460013,-0.00026454676911460013,-0.004151202410076933,0.0032311888773305375,0.00012637322540259485,0.0006793271,0.0032787195,0.00026730588,0.006641033911545883,0.7426900584795321,114,True
