outer_fold,train_years,test_years,n,tau_mean,tau_sd,share_three_pref,share_two_pref
train2000_2009_test2010_2012,2000-2009,2010-2012,37882,0.0018029137403526565,0.017176124027222215,0.5495485982788659,0.45045140172113407
train2000_2012_test2013_2015,2000-2012,2013-2015,41625,0.0007098137266273811,0.013125303347147293,0.5312912912912913,0.46870870870870873
train2000_2015_test2016_2018,2000-2015,2016-2018,40520,-0.0011045953112122984,0.010756047643819287,0.4769249753208292,0.5230750246791708
train2000_2018_test2019_2021,2000-2018,2019-2021,35165,-0.001652353691113748,0.009124826434169982,0.41637992321910994,0.5836200767808901
train2000_2021_test2022_2024,2000-2021,2022-2024,37514,-0.0006456989060976918,0.00697825977590651,0.4404222423628512,0.5595777576371488
