window,outer_fold,train_years,test_years,time_bin_left,time_bin_right,time_bin_mid,score_diff_cell,cate_value,tau_mean_ensemble,tau_catboost,tau_xgb,tau_lgbm,tau_catboost_raw,tau_xgb_raw,tau_lgbm_raw,tau_std_across_models,tau_sign_agree_ratio,n,shown_in_figure
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,9,-0.02129991336708396,-0.02129991336708396,-0.048475973939463714,-0.005096693978411283,-0.010327072183376881,-0.020873055,-0.00852944,-0.0109493295,0.006925474964626071,0.8888888888888888,3,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,0,3,1.5,10,-0.030492506879060854,-0.030492506879060854,-0.0710394877530233,-0.007642209937144447,-0.012795822947014812,-0.031844288,-0.012138744,-0.01359832,0.0037397085463669114,1.0,3,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-10,0.013727713821492236,0.013727713821492236,0.038602295941282824,0.003987528111432882,-0.0014066825882389942,0.021467695,0.0043511377,-0.001377676,0.029909612614018356,0.9242424242424242,22,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-9,0.0038545820528610364,0.0038545820528610364,0.014296181310504353,0.0007952998363129936,-0.003527734988234237,0.009649144,-0.00017514342,-0.0036535833,0.02435423376780878,0.9135802469135803,27,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-8,-0.009243513682610565,-0.009243513682610565,-0.02140199899714651,0.0011436038139901472,-0.007472145864675334,-0.0077086627,0.00031871907,-0.00788597,0.018338485040438175,0.8508771929824562,38,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-7,0.005035211390330759,0.005035211390330759,0.005723661479814413,0.01009332768928884,-0.0007113549981109742,0.00548086,0.013008591,-0.0006315837,0.024365692358301213,0.9084967320261438,51,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-6,0.013502579070845323,0.013502579070845323,0.012865871793663722,0.010728426774185052,0.016913438644687192,0.008953672,0.013909102,0.01827997,0.03225036815669115,0.8871794871794871,65,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-5,0.0032018081221626437,0.0032018081221626437,-0.001955241483650165,0.005644529348435941,0.0059161365017021544,0.0017470864,0.0067006107,0.0064797713,0.03456162241532079,0.8480392156862745,68,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-4,-0.02037038473346312,-0.02037038473346312,-0.05808906825299659,0.00593391911068221,-0.008956005058074971,-0.025547303,0.007110939,-0.009478164,0.03712105822176601,0.9037037037037037,90,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-3,-0.02627518753766468,-0.02627518753766468,-0.07582823558820315,0.008274086782199921,-0.011271413806990812,-0.03417276,0.010429078,-0.011962617,0.03424129783307115,0.7736625514403291,81,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-2,-0.012774778477909785,-0.012774778477909785,-0.056811429594284174,0.013431629551997538,0.005055464608557281,-0.024926068,0.017741991,0.005556263,0.03547049041797954,0.7719298245614035,76,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,-1,-0.008876129096331451,-0.008876129096331451,-0.04035521911149309,0.013103504535614822,0.000623327286883911,-0.016924435,0.017276742,0.0008005418,0.04690957077503467,0.82183908045977,58,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,0,-0.02052231361633806,-0.02052231361633806,-0.04195275181752593,-0.00682439755816916,-0.01278979147331909,-0.017701216,-0.0109791625,-0.013591848,0.02183721707805372,0.875,40,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,1,0.012964358135322469,0.012964358135322469,0.021079378270128072,0.013045845808454267,0.0047678503273850675,0.012947391,0.017194986,0.00524765,0.015971905051498255,0.8888888888888888,12,True
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,2,-0.009146322592371624,-0.009146322592371624,-0.020977754606107842,-0.0006315875573332383,-0.00582962561367379,-0.0075023794,-0.0021983364,-0.0061235316,0.016122099529247834,0.8888888888888888,6,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,3,-0.01406647170915428,-0.01406647170915428,-0.028888968738735643,0.0020203221613134094,-0.015330768550040612,-0.011349111,0.0015618238,-0.01631834,0.02339434498146602,0.6666666666666666,2,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,4,-0.01077564992168121,-0.01077564992168121,-0.03107670209990256,0.004994097675849516,-0.006244345340990587,-0.012412869,0.0057783592,-0.0065685296,0.005361202618934395,0.6666666666666666,4,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,5,-0.012261107945836765,-0.012261107945836765,-0.03417354371144946,0.004194004855002522,-0.006803784981063352,-0.013918672,0.004643903,-0.0071688127,0.012911410705690766,0.75,4,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,6,-0.009152579427545627,-0.009152579427545627,-0.02494035722113427,-0.0022698954630384132,-0.00024748559846419517,-0.009429147,-0.004521304,-0.00013384782,,1.0,1,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,7,-0.023361855454471038,-0.023361855454471038,-0.06599669854756762,0.0012044209367036791,-0.005293288752549171,-0.029392293,0.0004049521,-0.0055480376,0.014749132103508146,0.8333333333333333,2,False
0--30s,train2000_2009_test2010_2012,2000-2009,2010-2012,3,6,4.5,8,-0.02259830604789526,-0.02259830604789526,-0.054144166157501616,-0.004283588066108962,-0.009367163920075196,-0.023629144,-0.0073765316,-0.00991934,0.009322455935721822,1.0,5,False
